,title,description,published date,url,publisher,score
1,"Pro-Palestine student organizers face crackdowns by universities, legal charges - Prism","Pro-Palestine student organizers face crackdowns by universities, legal charges  Prism","Tue, 05 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vcHJpc21yZXBvcnRzLm9yZy8yMDI0LzAzLzA1L3Byby1wYWxlc3RpbmUtc3R1ZGVudC1vcmdhbml6ZXJzLXVuaXZlcnNpdHktY3JhY2tkb3ducy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://prismreports.org', 'title': 'Prism'}",3
4,"150 students take part in pro-Palestine, pro-Israel protests in Oklahoma Memorial Union - The Oklahoma Daily","150 students take part in pro-Palestine, pro-Israel protests in Oklahoma Memorial Union  The Oklahoma Daily","Fri, 08 Mar 2024 23:20:24 GMT",https://news.google.com/rss/articles/CBMipQFodHRwczovL3d3dy5vdWRhaWx5LmNvbS9uZXdzLzE1MC1zdHVkZW50cy10YWtlLXBhcnQtaW4tcHJvLXBhbGVzdGluZS1wcm8taXNyYWVsLXByb3Rlc3RzLWluLW9rbGFob21hLW1lbW9yaWFsLXVuaW9uL2FydGljbGVfZDY1NDJlNWEtZGNkNC0xMWVlLTg1NjEtMTMwYTc4ODVhMzMzLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.oudaily.com', 'title': 'The Oklahoma Daily'}",3
6,Students protest Kumar’s condemnation of TCU Senate resolutions - Tufts Daily,Students protest Kumar’s condemnation of TCU Senate resolutions  Tufts Daily,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnR1ZnRzZGFpbHkuY29tL2FydGljbGUvMjAyNC8wMy9zdHVkZW50cy1wcm90ZXN0LWt1bWFycy1jb25kZW1uYXRpb24tb2YtdGN1LXNlbmF0ZS1yZXNvbHV0aW9uc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.tuftsdaily.com', 'title': 'Tufts Daily'}",3
7,Amherst for Palestine Demands Divestment Outside Trustee Dinner - The Amherst Student,Amherst for Palestine Demands Divestment Outside Trustee Dinner  The Amherst Student,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vYW1oZXJzdHN0dWRlbnQuY29tL2FydGljbGUvYW1oZXJzdC1mb3ItcGFsZXN0aW5lLWRlbWFuZHMtZGl2ZXN0bWVudC1vdXRzaWRlLXRydXN0ZWUtZGlubmVyL9IBZ2h0dHBzOi8vYW1oZXJzdHN0dWRlbnQuY29tL2FydGljbGUvYW1oZXJzdC1mb3ItcGFsZXN0aW5lLWRlbWFuZHMtZGl2ZXN0bWVudC1vdXRzaWRlLXRydXN0ZWUtZGlubmVyL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://amherststudent.com', 'title': 'The Amherst Student'}",3
8,Columbia's protest policy less stringent than last iteration - Inside Higher Ed,Columbia's protest policy less stringent than last iteration  Inside Higher Ed,"Thu, 07 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3Lmluc2lkZWhpZ2hlcmVkLmNvbS9uZXdzL3N0dWRlbnRzL2ZyZWUtc3BlZWNoLzIwMjQvMDMvMDcvY29sdW1iaWFzLXByb3Rlc3QtcG9saWN5LWxlc3Mtc3RyaW5nZW50LWxhc3QtaXRlcmF0aW9u0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.insidehighered.com', 'title': 'Inside Higher Ed'}",3
12,Vanderbilt students protest for prison reform and Palestine in Alabama - The Vanderbilt Hustler,Vanderbilt students protest for prison reform and Palestine in Alabama  The Vanderbilt Hustler,"Mon, 04 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vdmFuZGVyYmlsdGh1c3RsZXIuY29tLzIwMjQvMDMvMDQvdmFuZGVyYmlsdC1zdHVkZW50cy1wcm90ZXN0LWZvci1wcmlzb24tcmVmb3JtLWFuZC1wYWxlc3RpbmUtaW4tYWxhYmFtYS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://vanderbilthustler.com', 'title': 'The Vanderbilt Hustler'}",3
13,UCSD students organize large protest in support of Palestine - ABC 10 News San Diego KGTV,UCSD students organize large protest in support of Palestine  ABC 10 News San Diego KGTV,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LjEwbmV3cy5jb20vbmV3cy9sb2NhbC1uZXdzL3Vjc2Qtc3R1ZGVudHMtb3JnYW5pemUtbGFyZ2UtcHJvdGVzdC1pbi1zdXBwb3J0LW9mLXBhbGVzdGluZdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.10news.com', 'title': 'ABC 10 News San Diego KGTV'}",3
17,Student Protesters Accuse Harvard Administrators of Surveillance at Palestine Vigil | News - Harvard Crimson,Student Protesters Accuse Harvard Administrators of Surveillance at Palestine Vigil | News  Harvard Crimson,"Mon, 04 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LnRoZWNyaW1zb24uY29tL2FydGljbGUvMjAyNC8zLzQvcHJvdGVzdGVycy1hY2N1c2UtaGFydmFyZC1zdXJ2ZWlsbGFuY2Uv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.thecrimson.com', 'title': 'Harvard Crimson'}",3
18,"Ithaca Common Council calls for ceasefire in Israel, Hamas war. Cornell students continue to protest - WSKG.org","Ithaca Common Council calls for ceasefire in Israel, Hamas war. Cornell students continue to protest  WSKG.org","Thu, 07 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy53c2tnLm9yZy9uZXdzLzIwMjQtMDMtMDcvaXRoYWNhLWNvbW1vbi1jb3VuY2lsLWNhbGxzLWZvci1jZWFzZWZpcmUtaW4taXNyYWVsLWhhbWFzLXdhci1jb3JuZWxsLXN0dWRlbnRzLWNvbnRpbnVlLXRvLXByb3Rlc3TSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.wskg.org', 'title': 'WSKG.org'}",3
20,Students allege police aggression at Nov. 17 protest for Palestine - Tufts Daily,Students allege police aggression at Nov. 17 protest for Palestine  Tufts Daily,"Thu, 07 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnR1ZnRzZGFpbHkuY29tL2FydGljbGUvMjAyNC8wMy9zdHVkZW50cy1hbGxlZ2UtcG9saWNlLWFnZ3Jlc3Npb24tYXQtbm92LTE3LXByb3Rlc3QtZm9yLXBhbGVzdGluZdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.tuftsdaily.com', 'title': 'Tufts Daily'}",3
